Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Genres
48549315,La sorpresa di Micia,Matthew Sturgis,"Sturgis, Matthew",,"=""""","=""""",5.0,Euroclub,Hardcover,24.0,1991.0,1991.0,2015/06/01,2019/10/21,,,read,,,,2,0,Unknown
12465386,Un mistero per Valentina,Angelo Petrosino,"Petrosino, Angelo",Sara Not,"=""8838450242""","=""9788838450242""",5.0,Piemme Junior,Paperback,198.0,2001.0,2001.0,2023/07/27,2023/07/29,,,read,,,,1,0,Unknown
9824994,Grandi novità in arrivo!,Angelo Petrosino,"Petrosino, Angelo",Sara Not,"=""8838450358""","=""9788838450358""",5.0,Piemme,Paperback,170.0,2004.0,2004.0,2023/07/27,2023/07/28,,,read,,,,1,0,Unknown
34827296,Gli amici di Valentina,Angelo Petrosino,"Petrosino, Angelo",,"=""""","=""""",5.0,Piemme,Paperback,160.0,2002.0,,2023/07/28,2023/08/07,,,read,,,,1,0,Unknown
40832077,Sfida a ritmo di danza,Thea Stilton,"Stilton, Thea",Tea Stilton,"=""""","=""""",5.0,Piemme,Unknown Binding,128.0,2015.0,2009.0,2023/07/28,2023/07/28,,,read,,,,1,0,Unknown
9825003,La famiglia di Valentina,Angelo Petrosino,"Petrosino, Angelo",Sara Not,"=""8838450285""","=""9788838450280""",5.0,Piemme,Paperback,149.0,2002.0,,2023/07/30,2023/08/07,,,read,,,,1,0,Unknown
31694335,Lily e la pianta misteriosa. Fairies. Il mondo segreto di Trilli,Kirsten Larsen,"Larsen, Kirsten","J. Holmes Clarke, Angela Ragusa","=""8852205160""","=""9788852205163""",5.0,Disney Libri,Paperback,120.0,2007.0,2006.0,2019/07/02,2019/07/21,,,read,,,,2,0,Unknown
28316635,Un Amico Internet Per Valentina (Italian Edition),Angelo Petrosino,"Petrosino, Angelo",,"=""8838450218""","=""9788838450211""",5.0,Piemme,Paperback,0.0,2003.0,,2023/08/04,2023/08/07,,,read,,,,1,0,Unknown
33960710,Your name.,Makoto Shinkai,"Shinkai, Makoto",Salvatore Corallo,"=""8868839792""","=""9788868839796""",5.0,Edizioni BD - J-Pop,Paperback,184.0,2017.0,2016.0,2023/08/06,2023/08/07,,,read,,,,1,0,Unknown
31694275,Vidia e la corona scomparsa. Fairies. Il mondo segreto di Trilli,Laura Driscoll,"Driscoll, Laura","J. Holmes Clarke, Angela Ragusa","=""8852204660""","=""9788852204661""",5.0,Disney Libri,Paperback,120.0,2006.0,2005.0,2019/07/19,2019/07/21,,,read,,,,2,0,Unknown
22542499,La cugina di Valentina,Angelo Petrosino,"Petrosino, Angelo",,"=""""","=""""",5.0,Piemme,Unknown Binding,191.0,2001.0,2001.0,2023/08/10,2023/08/20,,,read,,,,1,0,Unknown
16069853,V come Valentina,Angelo Petrosino,"Petrosino, Angelo",Sara Not,"=""883845020X""","=""9788838450204""",5.0,Piemme,Paperback,201.0,2001.0,2001.0,2023/08/13,2023/08/20,,,read,,,,1,0,Unknown
10374397,La Spada Nella Roccia,Geronimo Stilton,"Stilton, Geronimo",,"=""8838487278""","=""9788838487279""",5.0,Piemme,Hardcover,212.0,2006.0,2006.0,2023/08/14,2023/08/26,,,read,,,,1,0,Unknown
33797471,Gita di classe a Parigi,Angelo Petrosino,"Petrosino, Angelo",,"=""""","=""9788856645262""",5.0,Edizioni Piemme,Paperback,176.0,2015.0,2015.0,2023/08/18,2023/08/20,,,read,,,,1,0,Unknown
22011185,Grande ritorno nel regno della fantasia,Geronimo Stilton,"Stilton, Geronimo",,"=""8856628473""","=""9788856628470""",5.0,piemme,Paperback,579.0,2014.0,2013.0,2023/08/18,2023/08/26,,,read,,,,1,0,Unknown
9696415,Terzo viaggio nel regno della Fantasia,Geronimo Stilton,"Stilton, Geronimo",,"=""8838474540""","=""9788838474545""",5.0,Casale Monferrato,Hardcover,321.0,2007.0,2007.0,2023/08/20,2023/08/26,,,read,,,,1,0,Unknown
102324578,Alla ricerca della felicità. Nel regno della fantasia: 2 (Top-seller),Geronimo Stilton,"Stilton, Geronimo",,"=""8838453748""","=""9788838453748""",5.0,,Hardcover,0.0,,,2023/08/21,2023/08/26,,,read,,,,1,0,Unknown
19396955,Il meraviglioso Mago di Oz,Geronimo Stilton,"Stilton, Geronimo","Danilo Loizedda, Edwyn Nori","=""8858507827""","=""""",5.0,Piemme,Kindle Edition,220.0,2012.0,2011.0,2023/08/23,2023/09/01,,,read,,,,1,0,Unknown
22542441,In viaggio con Valentina,Angelo Petrosino,"Petrosino, Angelo",,"=""""","=""""",5.0,Piemme,Paperback,202.0,2001.0,2001.0,2023/08/23,2023/08/26,,,read,,,,1,0,Unknown
31694302,Beck e la guerra delle bacche. Fairies. Il mondo segreto di Trilli,Laura Driscoll,"Driscoll, Laura",J. Holmes Clarke,"=""8852205993""","=""9788852205996""",5.0,Disney Libri,Paperback,121.0,2007.0,2006.0,2019/07/17,2019/07/26,,,read,,,,2,0,Unknown
11329659,La Grande Invasione Di Topazia,Geronimo Stilton,"Stilton, Geronimo",,"=""8838498938""","=""9788838498930""",5.0,Piemme,Hardcover,320.0,2008.0,2008.0,2023/08/25,2023/09/01,,,read,,,,1,0,Unknown
36190463,Ottavo viaggio nel regno della Fantasia,Geronimo Stilton,"Stilton, Geronimo",Elisabetta Dami,"=""8856623730""","=""9788856623734""",5.0,Piemme,Hardcover,386.0,2012.0,2012.0,2023/08/27,2023/09/01,,,read,,,,1,0,Unknown
12413607,Il richiamo della foresta,Geronimo Stilton,"Stilton, Geronimo",Jack London,"=""8838487294""","=""9788838487293""",4.0,Piemme,Hardcover,215.0,2007.0,2007.0,2023/08/28,2023/09/01,,,read,,,,1,0,Unknown
13371670,Il segreto del coraggio,Geronimo Stilton,"Stilton, Geronimo",,"=""8838453659""","=""9788838453656""",5.0,Piemme,Hardcover,363.0,2004.0,2004.0,2023/08/29,2023/09/01,,,read,,,,1,0,Unknown
43083304,L'anello di luce. Cronache del Regno della Fantasia,Geronimo Stilton,"Stilton, Geronimo",,"=""8856604396""","=""9788856604399""",3.0,Piemme,Hardcover,0.0,2009.0,2009.0,2023/08/30,2023/09/01,,,read,,,,1,0,Unknown
15784993,Viaggio nel tempo,Geronimo Stilton,"Stilton, Geronimo",Elisabetta Dami,"=""8838479046""","=""9788838479045""",5.0,Piemme,Hardcover,315.0,2002.0,2002.0,2023/08/30,2023/09/01,,,read,,,,1,0,Unknown
146497104,Testimone a quattro zampe (Un Detective Con Le Vibrisse) (Italian Edition),Molly Fitz,"Fitz, Molly",Barbara Parutto,"=""""","=""9798393135485""",5.0,Independently published,Paperback,254.0,2023.0,2019.0,2023/06/10,2023/06/30,,,read,,,,2,0,Unknown
52182977,Brina: Ogni amico è un'avventura,Giorgio Salati,"Salati, Giorgio",Christian Cornia,"=""8867903764""","=""9788867903764""",5.0,Tunué,Paperback,96.0,2020.0,,2020/09/26,2020/10/14,,,read,,,,2,0,Unknown
43419348,Giulietta e Romeo,Roberto Piumini,"Piumini, Roberto",,"=""886656107X""","=""9788866561071""",5.0,Einaudi Ragazzi,Paperback,0.0,2013.0,1996.0,2023/07/16,2023/07/22,,,read,,,,1,0,Unknown
